а	vow	-front		
н	cons			
т	cons		-voiced	+stop
с	cons		-voiced	
е	vow	+front		
о	vow	-front		
ь	TODO			
и	vow	+front		
к	cons		-voiced	+stop
р	cons			
м	cons			
л	cons		+voiced	
я	vow	+front		
в	cons		+voiced	
д	cons		+voiced	+stop
з	cons		+voiced	
у	vow	-front		
п	cons		-voiced	+stop
ф	cons		-voiced	
й	cons			
ц	cons			
ш	cons		-voiced	
г	cons		+voiced	+stop
х	cons		-voiced	
б	cons		+voiced	+stop
ч	cons			
э	vow	+front		
ж	cons		+voiced	
ы	vow			
ю	vow			
щ	cons		-voiced	
ё	vow			
ъ	TODO			
i	TODO			
v	TODO			
